Timestamp,Gender,Age,Educational level,Position Level in Organization,Years of Service,GRS1,GRS2,GRS3,GRS4,GTD1,GTD2,GDT3,GTD4,GTD5,GPA1,GPA2,GPA3,GPA4,GPA5,GPA6,GCM1,GCM2,GCM3,GCM4,FEP1,FEP5,FEP7,FEP9,GEE1,GEE4,GEE5,GEE6
2023/04/19 6:59:23 pm GMT+8,Male,31- 40years,Bachelor Degree,Middle Manager,More than 5years,1,1,2,1,2,3,1,1,2,1,3,2,2,1,1,3,2,3,3,5,3,4,2,2,2,4,3
2023/04/19 7:00:44 pm GMT+8,Female,31- 40years,Diploma,General Worker,3-5yaers,2,3,3,3,2,2,1,1,2,3,3,3,2,1,2,2,2,3,2,5,2,5,2,2,1,1,1
2023/04/19 7:02:59 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,1-3years,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4
2023/04/19 7:16:13 pm GMT+8,Male,20- 30years,Diploma,Middle Manager,1-3years,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,3,4,1,4,5,4,4,4
2023/04/19 7:28:21 pm GMT+8,Male,20- 30years,Diploma,Top Level Manager,1-3years,5,4,4,3,5,5,4,3,5,4,2,1,3,4,3,4,4,4,4,4,4,4,5,4,3,4,4
2023/04/19 7:37:39 pm GMT+8,Female,31- 40years,Diploma,Middle Manager,Less than a year,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,1,1
2023/04/19 7:38:24 pm GMT+8,Male,20- 30years,Diploma,Supervisor,1-3years,5,4,3,3,4,3,4,2,4,5,3,2,5,1,3,4,3,3,2,4,4,4,4,3,2,4,2
2023/04/19 7:38:25 pm GMT+8,Male,31- 40years,Bachelor Degree,Supervisor,3-5yaers,3,4,4,4,4,4,4,4,4,2,4,2,3,2,2,2,4,2,2,4,3,4,3,4,2,2,2
2023/04/19 7:39:06 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,More than 5years,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,4,3,3,1,3,1
2023/04/19 7:40:12 pm GMT+8,Female,20- 30years,Bachelor Degree,Supervisor,1-3years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5
2023/04/19 8:17:25 pm GMT+8,Male,20- 30years,Bachelor Degree,General Worker,3-5yaers,4,4,4,4,5,4,5,5,4,4,4,3,4,4,4,3,4,3,3,5,4,5,4,4,4,3,3
2023/04/19 8:20:23 pm GMT+8,Male,20- 30years,Bachelor Degree,Top Level Manager,1-3years,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,4,2,4,1,1,2,2,2
2023/04/19 8:20:50 pm GMT+8,Male,31- 40years,Bachelor Degree,Middle Manager,1-3years,4,4,3,4,4,4,3,2,3,4,3,3,3,2,1,3,1,3,2,3,5,4,4,4,1,2,3
2023/04/19 8:42:39 pm GMT+8,Male,31- 40years,Bachelor Degree,Top Level Manager,1-3years,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,5,1,5,1,1,1,1,1
2023/04/19 8:51:53 pm GMT+8,Male,20- 30years,Master's Degree,Supervisor,Less than a year,3,2,2,1,3,1,4,3,3,4,1,2,4,1,2,2,1,1,3,4,4,4,4,2,2,1,2
2023/04/19 9:04:14 pm GMT+8,Female,20- 30years,Master's Degree,Middle Manager,1-3years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,4,2,2,4
2023/04/19 9:27:34 pm GMT+8,Male,31- 40years,Bachelor Degree,Top Level Manager,1-3years,4,4,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,4,3,2,3,5,4,4,5,4,4
2023/04/19 9:32:30 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,1-3years,5,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,3,3,3,2,4,4,4,4,3,4,4
2023/04/19 9:58:17 pm GMT+8,Female,41- 50years,Bachelor Degree,Supervisor,More than 5years,4,5,4,4,3,4,3,4,3,4,2,2,2,4,5,3,4,4,2,3,5,3,5,4,4,4,4
2023/04/19 10:15:31 pm GMT+8,Male,20- 30years,Diploma,General Worker,1-3years,4,3,4,3,4,4,1,4,3,4,4,4,4,4,4,3,3,4,2,4,3,2,4,5,4,4,4
2023/04/19 10:56:15 pm GMT+8,Male,20- 30years,Diploma,General Worker,3-5yaers,3,4,4,3,3,3,2,2,3,3,4,3,3,3,3,3,3,2,4,4,2,4,3,4,3,3,3
2023/04/19 10:57:38 pm GMT+8,Male,51-60years,Bachelor Degree,Top Level Manager,More than 5years,3,4,4,3,4,3,4,4,4,4,3,4,3,3,3,4,3,4,4,3,4,4,4,4,4,4,3
2023/04/19 11:04:33 pm GMT+8,Male,20- 30years,Diploma,General Worker,3-5yaers,2,4,1,2,4,2,2,1,2,3,4,1,1,1,2,4,4,1,2,5,4,4,5,4,1,2,2
2023/04/19 11:51:11 pm GMT+8,Male,20- 30years,Bachelor Degree,General Worker,Less than a year,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5
2023/04/20 12:14:12 am GMT+8,Male,31- 40years,Bachelor Degree,Supervisor,3-5yaers,4,4,4,3,4,3,2,3,3,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3
2023/04/20 12:58:10 am GMT+8,Female,20- 30years,Master's Degree,General Worker,3-5yaers,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
2023/04/20 1:24:30 am GMT+8,Male,31- 40years,Master's Degree,General Worker,More than 5years,4,3,3,3,2,4,4,3,3,3,3,2,3,3,3,4,3,3,3,5,2,4,3,3,3,3,3
2023/04/20 1:25:05 am GMT+8,Female,31- 40years,Bachelor Degree,General Worker,3-5yaers,4,4,4,1,3,4,4,3,5,4,2,3,3,4,5,5,2,3,3,5,5,5,2,2,5,5,5
2023/04/20 1:29:28 am GMT+8,Male,20- 30years,Bachelor Degree,Middle Manager,1-3years,1,2,1,3,1,2,2,2,5,1,1,1,1,1,2,2,5,2,5,3,1,4,4,1,1,1,1
2023/04/20 1:37:55 am GMT+8,Female,31- 40years,Bachelor Degree,Middle Manager,3-5yaers,4,4,3,4,3,4,4,4,3,4,4,3,4,4,3,4,4,5,4,2,4,2,4,4,4,5,4
2023/04/20 1:57:58 am GMT+8,Female,20- 30years,Bachelor Degree,Middle Manager,Less than a year,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,3,5,3,4,4,5,4,4
2023/04/20 2:11:10 am GMT+8,Male,20- 30years,Diploma,General Worker,1-3years,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3
2023/04/20 2:39:56 am GMT+8,Male,31- 40years,Diploma,General Worker,3-5yaers,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
2023/04/20 3:11:14 am GMT+8,Male,31- 40years,Bachelor Degree,Middle Manager,3-5yaers,2,4,3,3,3,3,2,3,2,2,4,4,2,2,2,3,2,2,1,3,4,3,4,4,1,1,2
2023/04/20 3:15:16 am GMT+8,Male,31- 40years,Post High School Certificate,General Worker,More than 5years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,5,5
2023/04/20 3:16:12 am GMT+8,Female,51-60years,Diploma,General Worker,3-5yaers,1,2,4,3,1,5,3,4,1,4,3,3,1,4,5,3,3,3,4,2,5,4,3,5,3,2,2
2023/04/20 5:09:29 am GMT+8,Female,51-60years,Bachelor Degree,Middle Manager,Less than a year,2,5,1,1,3,4,2,1,2,2,1,5,3,1,4,1,4,5,1,2,5,3,3,1,4,2,1
2023/04/20 5:13:09 am GMT+8,Female,20- 30years,Master's Degree,Top Level Manager,Less than a year,1,3,4,3,5,2,5,2,3,5,1,3,3,1,2,5,5,1,3,3,5,3,1,5,1,1,3
2023/04/20 5:15:16 am GMT+8,Female,31- 40years,Ph.D.,Middle Manager,3-5yaers,5,1,5,2,1,2,5,3,3,2,5,5,3,5,1,2,4,5,3,4,2,4,5,2,4,3,4
2023/04/20 5:17:57 am GMT+8,Female,41- 50years,Diploma,Supervisor,Less than a year,1,4,1,3,2,3,1,5,3,4,3,3,3,4,5,1,4,3,2,4,2,2,3,5,2,1,4
2023/04/20 5:20:37 am GMT+8,Female,20- 30years,Post High School Certificate,Supervisor,3-5yaers,1,2,3,4,5,2,1,5,3,2,1,1,2,3,5,3,1,3,4,4,2,3,1,4,2,4,3
2023/04/20 5:22:56 am GMT+8,Female,31- 40years,High School Certificate,General Worker,1-3years,1,2,3,2,5,3,2,4,5,1,4,5,2,1,4,2,3,3,1,1,4,5,1,1,4,4,3
