mean_fit_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
3.643357435862223,0.001,"(50, 50)",0.0001,tanh,0.49470720526144096,0.011571446978544443,1,0.5074937131505621,0.017870648881830115
1.9452349344889324,0.01,"(50, 50)",0.001,relu,0.49019146574990485,0.023941579226998556,2,0.5151548159665289,0.007568387101521679
1.8830126126607258,0.01,"(100,)",0.001,relu,0.4868935487475247,0.022674348592072725,3,0.5155665421557328,0.016468010879681298
3.957061688105265,0.001,"(100,)",0.001,relu,0.48636643544516106,0.017340723935613884,4,0.5102628253923038,0.0182012841929542
3.7434157530466714,0.001,"(50,)",0.0001,relu,0.4851252460577438,0.023193651420175012,5,0.5108100992779486,0.006936132987912016
3.816619555155436,0.001,"(50,)",0.001,tanh,0.4831081821104493,0.026073683847169918,6,0.49946538863167683,0.0068482532626608795
1.3870646953582764,0.01,"(50,)",0.0001,relu,0.48080920835243735,0.020926465985240155,7,0.506262906059161,0.006532375594674871
1.3372546831766765,0.01,"(50,)",0.0001,tanh,0.47560866671818863,0.02724787577221104,8,0.4976749263233026,0.01434449454148079
