mean_fit_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.07323627471923828,0.01,"(20,)",0.0001,-0.5967393121934045,0.07134194899998816,1,-0.5272746627821453,0.08968944314272395
0.2747349739074707,0.001,"(50,)",0.0001,-0.5985862932234969,0.08404796386050299,2,-0.49461520179519275,0.016119500874132265
0.28786301612854004,0.001,"(50,)",0.001,-0.5990652986098184,0.08413380482766473,3,-0.49496894336988506,0.016113127564928463
0.38616514205932617,0.001,"(20,)",0.0001,-0.615411671684111,0.10593255756398892,4,-0.5338511053209585,0.0718666226708438
0.04434609413146973,0.01,"(50, 25)",0.001,-0.6155680057086313,0.10094220661050596,5,-0.5194104110834008,0.030419546307556715
0.03408594131469726,0.01,"(50,)",0.001,-0.6163492896210183,0.09534940577989603,6,-0.5493251802311592,0.017240894019879837
0.03790216445922852,0.01,"(50, 25)",0.0001,-0.6263914143522975,0.11735104521576156,7,-0.5304147267616416,0.02730244257142012
0.2268613338470459,0.001,"(50, 25)",0.001,-0.894467903148956,0.6168419440605779,8,-0.7263549031995601,0.4956608026916889
