Transformed_Feature,Coefficient,Absolute_Coefficient
cat__city_city_7,-0.5598686631069714,0.5598686631069714
cat__city_city_64,-0.44236452346192406,0.44236452346192406
cat__city_city_21,0.42069468374130947,0.42069468374130947
cat__city_city_77,-0.40917709998752266,0.40917709998752266
cat__city_city_39,-0.40737114804205715,0.40737114804205715
cat__city_city_105,-0.39464319079167504,0.39464319079167504
cat__city_city_2,-0.3816399319833555,0.3816399319833555
cat__city_city_117,-0.3471757743110378,0.3471757743110378
cat__city_city_160,0.3354172336843629,0.3354172336843629
cat__city_city_155,0.33074428828907937,0.33074428828907937
cat__city_city_167,0.32863887961554983,0.32863887961554983
cat__education_level_Primary School,-0.3262708432782731,0.3262708432782731
cat__city_city_111,-0.3152126629013435,0.3152126629013435
cat__city_city_8,-0.31244115837293174,0.31244115837293174
cat__city_city_171,0.3120744398364268,0.3120744398364268
cat__city_city_103,0.30966131563948285,0.30966131563948285
cat__city_city_100,0.30407771542222034,0.30407771542222034
cat__city_city_62,-0.3037417485491121,0.3037417485491121
cat__city_city_82,-0.30120152640292014,0.30120152640292014
cat__city_city_115,0.2959125430550112,0.2959125430550112
cat__city_city_37,-0.29027755303305386,0.29027755303305386
cat__city_city_42,0.28225396343656206,0.28225396343656206
cat__city_city_18,0.28199643007946046,0.28199643007946046
cat__city_city_165,0.2800504544016178,0.2800504544016178
cat__company_size_50-99,0.27834320250241534,0.27834320250241534
cat__city_city_20,-0.2774481245128818,0.2774481245128818
cat__city_city_89,0.2659824734828732,0.2659824734828732
cat__company_type_Funded Startup,-0.2597929337145,0.2597929337145
cat__city_city_9,0.25784310627435303,0.25784310627435303
num__city_development_index,-0.2566072487855646,0.2566072487855646
cat__city_city_138,-0.25297741549568686,0.25297741549568686
cat__city_city_144,0.23857254355305998,0.23857254355305998
cat__city_city_129,-0.23832991592234024,0.23832991592234024
cat__city_city_93,0.23509968211173315,0.23509968211173315
cat__city_city_53,0.23385263904478082,0.23385263904478082
cat__city_city_157,-0.227324785047043,0.227324785047043
cat__city_city_149,-0.22597282377094652,0.22597282377094652
cat__city_city_70,0.22589365995713062,0.22589365995713062
cat__city_city_30,-0.21639090563592872,0.21639090563592872
cat__city_city_94,0.21350814226530476,0.21350814226530476
cat__city_city_143,0.21252413215824795,0.21252413215824795
cat__city_city_65,-0.20247333363564188,0.20247333363564188
cat__last_new_job_never,-0.20103975099534152,0.20103975099534152
cat__city_city_11,0.1994166887965533,0.1994166887965533
cat__city_city_83,0.19447521002291557,0.19447521002291557
cat__city_city_59,0.19290399334109867,0.19290399334109867
cat__city_city_97,-0.1914964139271437,0.1914964139271437
cat__city_city_12,-0.19009760995386146,0.19009760995386146
cat__city_city_121,-0.18413200037489036,0.18413200037489036
cat__city_city_162,0.18178134838269558,0.18178134838269558
cat__city_city_40,-0.1791970119647319,0.1791970119647319
cat__city_city_158,0.17763770200053997,0.17763770200053997
cat__city_city_74,0.17537227386644916,0.17537227386644916
cat__city_city_146,0.17530025923060447,0.17530025923060447
cat__city_city_145,0.1732006832174918,0.1732006832174918
cat__city_city_25,0.17222853311429243,0.17222853311429243
cat__relevent_experience_Has relevent experience,-0.17048631079766918,0.17048631079766918
cat__city_city_150,-0.16895543050445735,0.16895543050445735
cat__city_city_152,-0.16737100409361846,0.16737100409361846
cat__city_city_106,0.16459632086235626,0.16459632086235626
cat__city_city_72,-0.16082896183598827,0.16082896183598827
cat__education_level_High School,-0.15961098558015946,0.15961098558015946
cat__city_city_128,0.1575433431675088,0.1575433431675088
cat__city_city_116,-0.15661461979820676,0.15661461979820676
cat__education_level_Graduate,0.15615228877704468,0.15615228877704468
cat__city_city_127,-0.15535886622533285,0.15535886622533285
cat__experience_1,0.15210030829972182,0.15210030829972182
cat__city_city_57,-0.14943312383090027,0.14943312383090027
cat__city_city_14,-0.14576190837072656,0.14576190837072656
cat__city_city_179,0.14389902436795005,0.14389902436795005
cat__city_city_99,0.14121145894772477,0.14121145894772477
cat__city_city_78,0.13871352421879005,0.13871352421879005
cat__experience_18,-0.1290707393989525,0.1290707393989525
