Model,Delta_R2,Delta_R2_CI_Lower,Delta_R2_CI_Upper,Delta_MAE,Delta_MAE_CI_Lower,Delta_MAE_CI_Upper,Delta_RMSE,Delta_RMSE_CI_Lower,Delta_RMSE_CI_Upper
Random Forest Regressor,0.007093251475263629,-0.044034790876944986,0.06441742496689924,0.00010300248974220994,-0.020990311862760205,0.021211517701060095,-0.0029325553321355446,-0.023602517614688318,0.017027754550744
Decision Tree Regressor,0.04358918223334052,-0.035487842182157545,0.1613108651774714,-0.009332475905769522,-0.03760578818382319,0.017990009534712973,-0.018145733452263113,-0.055499475927058596,0.01423429037141515
LinearSVR,0.0006637197754965074,-0.017810251270716088,0.014058685389460706,-0.001205708567689201,-0.007231073598163896,0.004798402309224681,-0.0002823228037062142,-0.006896445266764829,0.005941821296112819
MLPRegressor,0.017835875589526484,-0.08055813898408372,0.1525734046898124,-0.020544467362637264,-0.0562846574485094,0.018390051820392342,-0.007251474129735258,-0.05081340756011281,0.03813089801286574
