Dataset,Model,Feature,Importance_Mean,Importance_Std
promotion,Decision Tree,KPIs_met >80%,0.1205360157824399,0.0029182810378789
promotion,Decision Tree,previous_year_rating,0.0199777131587714,0.0019738062994414
promotion,Decision Tree,education,0.0020076403669197,0.0006512585832737
promotion,Decision Tree,age,0.0012860448343233,0.0016583085169305
promotion,Decision Tree,awards_won?,0.0011966173824866,0.0004701075809146
promotion,Decision Tree,gender,0.0008134007332256,0.0004421013253833
promotion,Decision Tree,length_of_service,0.0003527869920128,0.0008110957268644
promotion,Decision Tree,recruitment_channel,-1.6214723674101707e-05,0.0002817203176781
promotion,Linear SVM,avg_training_score,0.2087439899431971,0.0039012084132209
promotion,Linear SVM,department,0.1378384313647215,0.0042543042213902
promotion,Linear SVM,KPIs_met >80%,0.1066892549574779,0.0043518106353337
promotion,Linear SVM,region,0.0072394402804404,0.0031862004372027
promotion,Linear SVM,awards_won?,0.00585021665221,0.0004830787816079
promotion,Linear SVM,length_of_service,0.0051672914415909,0.0014101495312325
promotion,Linear SVM,education,0.0018720537561372,0.0010901199681286
promotion,Linear SVM,previous_year_rating,0.0008083152614759,0.00131841109395
promotion,Linear SVM,no_of_trainings,0.0006497785008336,0.001261456816813
promotion,Linear SVM,age,0.0003433393077328,0.0009855708004269
promotion,MLP,avg_training_score,0.3854182415316888,0.0048277440289162
promotion,MLP,department,0.2890516263700678,0.006287912069015
promotion,MLP,awards_won?,0.0121226288100723,0.0019013726907803
promotion,MLP,previous_year_rating,0.0073519150672701,0.0043675208385658
promotion,MLP,KPIs_met >80%,0.0072816359984681,0.0038119225947734
promotion,MLP,no_of_trainings,0.0003140654445243,0.0010434009490619
promotion,MLP,length_of_service,0.000259754408991,0.0021354571491097
promotion,MLP,age,0.000160099878922,0.0007345835898101
promotion,MLP,gender,-0.0001559710325182,0.0012634429234677
promotion,MLP,education,-0.0003153318659601,0.0015673077672838
