Dataset,k,Numeric_Features,Inertia_SSE,Silhouette,Davies_Bouldin,Iterations,Silhouette_N
job_change,2,2,21755.936409113252,0.521644429312334,0.8541906646564658,5,5000
job_change,3,2,11219.406410202746,0.5772930698739038,0.6639359227994422,7,5000
job_change,4,2,8306.637116652932,0.5212487418397695,0.7118010935197444,9,5000
job_change,5,2,6459.79486208258,0.5128580579973253,0.7387565856620294,12,5000
job_change,6,2,5313.745069602502,0.5117028947226295,0.7025980922940538,10,5000
job_change,7,2,4268.225380215901,0.48818114546259395,0.7183566069670768,13,5000
