mean_fit_time,param_model__max_depth,param_model__min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.005631875991821289,3,5,-0.6004578213487803,0.0747296350568144,1,-0.49750241047837446,0.011374508807250461
0.005637836456298828,5,5,-0.6028212368342956,0.07627162203149876,2,-0.4573649168961886,0.014255779775289308
0.005724430084228516,5,10,-0.6107592570239263,0.08584229617423927,3,-0.49019045979697023,0.013321290999453615
0.010249853134155273,3,2,-0.6126153209173035,0.07060174952221339,4,-0.4947820414643352,0.013213924103363818
0.005146837234497071,,10,-0.6130657796288008,0.08595543640987133,5,-0.4876342822108847,0.01160262671102358
0.005090045928955078,8,10,-0.6130657796288008,0.08595543640987133,5,-0.4876342822108847,0.01160262671102358
0.0057487964630126955,5,2,-0.6199501948883823,0.05561150763642531,7,-0.4333389127998095,0.014837267347576313
0.005497455596923828,,5,-0.6207313019354272,0.07735141423011443,8,-0.42156453455036863,0.01635305942099905
0.007725954055786133,8,5,-0.6219849140665189,0.07563669832271183,9,-0.4255132353330122,0.013763569446442778
0.0054820537567138675,3,10,-0.6269482274175961,0.08130576663882834,10,-0.514355690293623,0.012642681917921525
0.005797147750854492,8,2,-0.6800113437630431,0.06278859110174406,11,-0.3417800916814843,0.013656303672581936
0.005360460281372071,,2,-0.7160921991634336,0.046213134315925795,12,-0.2870823541472062,0.01512762891461941
