mean_fit_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
3.1545613765716554,10,sqrt,2,400,-0.5700930616779742,0.07125215225816166,1,-0.3531255974906699,0.014298394703801565
0.6414731025695801,,sqrt,2,400,-0.5712904431382736,0.07084743053891311,2,-0.3495398046518768,0.014070442676237938
2.7413766860961912,10,sqrt,2,200,-0.5728919079739596,0.06932566250663548,3,-0.35488390969320466,0.014787915966110935
0.34531874656677247,,sqrt,2,200,-0.5735483991492117,0.0697307541244105,4,-0.35127006047450177,0.014017879250807722
5.943866634368897,10,sqrt,1,400,-0.5813990276620429,0.07689179588215443,5,-0.2609753232796963,0.010232685958187493
0.5432063102722168,10,sqrt,1,200,-0.5817624519620437,0.07660504526362165,6,-0.26288679642241386,0.011272958347295305
0.6792219638824463,10,1.0,2,400,-0.5822334752256222,0.07648671199416007,7,-0.3305565241608052,0.013885895067805099
0.700924015045166,,1.0,2,400,-0.5831261755296593,0.07657347065848057,8,-0.3256085943426327,0.013531339916467952
0.367551326751709,10,1.0,2,200,-0.5834218102743655,0.0754072593230379,9,-0.3316241106509737,0.01407777338409717
0.3999745845794678,,sqrt,1,200,-0.5839593910706274,0.07731711357450774,10,-0.23481519134679418,0.007826806829033426
0.835181474685669,,sqrt,1,400,-0.5843794226721037,0.0777557794360266,11,-0.23246057743816978,0.0073230293760786
0.36312289237976075,,1.0,2,200,-0.584525508456535,0.07597792661150365,12,-0.326923172478916,0.013755871285517128
0.7008162498474121,10,1.0,1,400,-0.5903520344716388,0.07958225030227832,13,-0.25804505665213306,0.009165121326151658
0.3642375946044922,10,1.0,1,200,-0.5923064806604941,0.08128559682244436,14,-0.2594075557112573,0.010039220798342054
0.7412522792816162,,1.0,1,400,-0.5948649832784972,0.0806717326611974,15,-0.23527385303494425,0.008351363699530177
0.40977840423583983,,1.0,1,200,-0.5960466196738716,0.08187789856132659,16,-0.23719818520170124,0.00884144289457346
