Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0
ghrm,Random Forest Regressor,0,57,58,83,numeric__GTD,0.9886031746864319,0.2624305555555555,38,60.0,False,3.7416666666666667
ghrm,Random Forest Regressor,0,58,59,80,numeric__GPA,0.7234286963939667,0.23285123966942223,34,55.0,False,3.6818181818181817
ghrm,Random Forest Regressor,0,59,60,69,numeric__GPA,0.2298312969505787,0.2214083175803374,29,46.0,False,3.597826086956522
ghrm,Random Forest Regressor,0,60,61,62,numeric__GTD,-0.7754471302032471,0.0956994328922498,15,23.0,False,3.8369565217391304
ghrm,Random Forest Regressor,0,61,-1,-1,leaf,,0.01171875,2,4.0,True,4.1875
ghrm,Random Forest Regressor,0,62,63,64,numeric__GCM,-0.8339053690433502,0.08206371191135808,13,19.0,False,3.763157894736842
ghrm,Random Forest Regressor,0,63,-1,-1,leaf,,0.040000000000000924,3,5.0,True,3.65
ghrm,Random Forest Regressor,0,64,65,68,numeric__GRS,0.794561505317688,0.09088010204081698,10,14.0,False,3.8035714285714284
ghrm,Random Forest Regressor,0,65,66,67,numeric__GTD,-0.18743033707141876,0.09852430555555536,8,12.0,False,3.7708333333333335
ghrm,Random Forest Regressor,0,66,-1,-1,leaf,,0.2638888888888875,3,3.0,True,3.5833333333333335
ghrm,Random Forest Regressor,0,67,-1,-1,leaf,,0.027777777777775015,5,9.0,True,3.8333333333333335
ghrm,Random Forest Regressor,0,68,-1,-1,leaf,,0.0,2,2.0,True,4.0
ghrm,Random Forest Regressor,0,69,70,73,numeric__GTD,0.04777636379003525,0.23275047258979065,14,23.0,False,3.358695652173913
ghrm,Random Forest Regressor,0,70,71,72,numeric__GRS,0.5116578191518784,0.25,4,8.0,False,3.0
ghrm,Random Forest Regressor,0,71,-1,-1,leaf,,0.0,2,2.0,True,3.5
ghrm,Random Forest Regressor,0,72,-1,-1,leaf,,0.22222222222222143,2,6.0,True,2.8333333333333335
ghrm,Random Forest Regressor,0,73,74,75,numeric__GCM,0.16767533775418997,0.11833333333333407,10,15.0,False,3.55
ghrm,Random Forest Regressor,0,74,-1,-1,leaf,,0.013888888888889284,3,3.0,True,3.4166666666666665
ghrm,Random Forest Regressor,0,75,76,77,numeric__GPA,0.5259897261857986,0.1388888888888875,7,12.0,False,3.5833333333333335
ghrm,Random Forest Regressor,0,76,-1,-1,leaf,,0.04296875,3,4.0,True,3.6875
ghrm,Random Forest Regressor,0,77,78,79,numeric__GRS,0.5116578191518784,0.1787109375,4,8.0,False,3.53125
ghrm,Random Forest Regressor,0,78,-1,-1,leaf,,0.015625,2,4.0,True,3.875
ghrm,Random Forest Regressor,0,79,-1,-1,leaf,,0.10546875,2,4.0,True,3.1875
ghrm,Random Forest Regressor,0,80,81,82,numeric__GRS,0.794561505317688,0.07098765432099086,5,9.0,False,4.111111111111111
ghrm,Random Forest Regressor,0,81,-1,-1,leaf,,0.015625,2,4.0,True,4.375
ghrm,Random Forest Regressor,0,82,-1,-1,leaf,,0.015000000000000568,3,5.0,True,3.9
ghrm,Random Forest Regressor,0,83,-1,-1,leaf,,0.11499999999999844,4,5.0,True,4.4
ghrm,Random Forest Regressor,0,84,85,112,numeric__GCM,1.4554219245910645,0.23718972274641104,53,83.0,False,4.003012048192771
ghrm,Random Forest Regressor,0,85,86,111,numeric__GRS,1.6432725191116333,0.20489392984667099,45,69.0,False,3.9057971014492754
ghrm,Random Forest Regressor,0,86,87,110,numeric__GPA,1.1183066368103027,0.18275147928994073,43,65.0,False,3.8615384615384616
ghrm,Random Forest Regressor,0,87,88,109,numeric__GTD,1.2238098978996277,0.16499748047366936,41,63.0,False,3.8373015873015874
ghrm,Random Forest Regressor,0,88,89,96,numeric__GRS,-0.05414953455328941,0.15158510310864948,38,57.0,False,3.8728070175438596
ghrm,Random Forest Regressor,0,89,90,93,numeric__GRS,-0.33705320954322815,0.09645328719723167,11,17.0,False,3.6323529411764706
ghrm,Random Forest Regressor,0,90,91,92,numeric__GPA,0.3285507783293724,0.03999999999999915,4,5.0,False,3.85
ghrm,Random Forest Regressor,0,91,-1,-1,leaf,,0.0,2,3.0,True,3.75
ghrm,Random Forest Regressor,0,92,-1,-1,leaf,,0.0625,2,2.0,True,4.0
ghrm,Random Forest Regressor,0,93,94,95,numeric__GTD,-0.18743033707141876,0.09201388888888928,7,12.0,False,3.5416666666666665
ghrm,Random Forest Regressor,0,94,-1,-1,leaf,,0.16666666666666607,3,6.0,True,3.5
ghrm,Random Forest Regressor,0,95,-1,-1,leaf,,0.013888888888887507,4,6.0,True,3.5833333333333335
ghrm,Random Forest Regressor,0,96,97,104,numeric__GCM,1.0261730551719666,0.14000000000000057,27,40.0,False,3.975
ghrm,Random Forest Regressor,0,97,98,101,numeric__GCM,0.7400071620941162,0.13234618916437135,21,33.0,False,3.9015151515151514
ghrm,Random Forest Regressor,0,98,99,100,numeric__GTD,0.5181897878646851,0.07923446745561691,15,26.0,False,4.009615384615385
ghrm,Random Forest Regressor,0,99,-1,-1,leaf,,0.16000000000000014,3,5.0,True,4.2
ghrm,Random Forest Regressor,0,100,-1,-1,leaf,,0.04931972789115591,12,21.0,True,3.9642857142857144
ghrm,Random Forest Regressor,0,101,102,103,numeric__GPA,0.3285507783293724,0.125,6,7.0,False,3.5
ghrm,Random Forest Regressor,0,102,-1,-1,leaf,,0.05555555555555358,2,3.0,True,3.3333333333333335
ghrm,Random Forest Regressor,0,103,-1,-1,leaf,,0.140625,4,4.0,True,3.625
ghrm,Random Forest Regressor,0,104,105,108,numeric__GPA,0.7234286963939667,0.03061224489795933,6,7.0,False,4.321428571428571
ghrm,Random Forest Regressor,0,105,106,107,numeric__GTD,0.6357931196689606,0.0400000000000027,4,5.0,False,4.35
ghrm,Random Forest Regressor,0,106,-1,-1,leaf,,0.0625,2,2.0,True,4.25
ghrm,Random Forest Regressor,0,107,-1,-1,leaf,,0.013888888888885731,2,3.0,True,4.416666666666667
ghrm,Random Forest Regressor,0,108,-1,-1,leaf,,0.0,2,2.0,True,4.25
ghrm,Random Forest Regressor,0,109,-1,-1,leaf,,0.16666666666666607,3,6.0,True,3.5
ghrm,Random Forest Regressor,0,110,-1,-1,leaf,,0.140625,2,2.0,True,4.625
ghrm,Random Forest Regressor,0,111,-1,-1,leaf,,0.015625,2,4.0,True,4.625
ghrm,Random Forest Regressor,0,112,113,116,numeric__GTD,1.5766199827194214,0.12021683673469497,8,14.0,False,4.482142857142857
ghrm,Random Forest Regressor,0,113,114,115,numeric__GTD,1.2238098978996277,0.07098765432099086,5,9.0,False,4.361111111111111
ghrm,Random Forest Regressor,0,114,-1,-1,leaf,,0.0,2,5.0,True,4.5
ghrm,Random Forest Regressor,0,115,-1,-1,leaf,,0.10546875,3,4.0,True,4.1875
ghrm,Random Forest Regressor,0,116,-1,-1,leaf,,0.134999999999998,3,5.0,True,4.7
