mean_fit_time,param_model__max_depth,param_model__min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.011611843109130859,5,10,-0.6161416428098605,0.08967187986241441,1,-0.48224333534140673,0.015983143440548932
0.006682348251342773,3,10,-0.6215102199813233,0.07435694976835173,2,-0.5112589801295585,0.014560434805078406
0.005518293380737305,5,5,-0.6216649709483624,0.09150330862702367,3,-0.4510017971154,0.01867090261289446
0.005834722518920898,3,5,-0.6219829420657945,0.08915550827870672,4,-0.4936854934887971,0.012105084792541614
0.12889404296875,,10,-0.6248792350365716,0.08532618630350272,5,-0.47794837330157663,0.014000354211106713
0.09265351295471191,8,10,-0.6248792350365716,0.08532618630350272,5,-0.47794837330157663,0.014000354211106713
0.006099843978881836,3,2,-0.6280106303341857,0.09032194031810442,7,-0.4898039898381296,0.01353379019802527
0.004535198211669922,5,2,-0.6360659488215756,0.08681392878785207,8,-0.41776434277873326,0.016890200211289584
0.11087102890014648,8,5,-0.6482969745042791,0.08812058547955376,9,-0.4118171514645619,0.01906835111077601
0.04926915168762207,,5,-0.6523078313252226,0.08867639520104,10,-0.4106196163813638,0.019028156511990097
0.015165376663208007,8,2,-0.683955442535253,0.07067270946593789,11,-0.319690453854378,0.015095511831545729
0.0972318172454834,,2,-0.7112551580510571,0.07694333207569526,12,-0.26452514656865866,0.018906540820343765
