Dataset,Cluster,Size,Share
promotion,0,7250,0.132279959130054
promotion,1,22855,0.41700116771274265
promotion,2,16251,0.29650780907896657
promotion,3,7182,0.13103926434097213
promotion,4,1270,0.023171799737264635
