Dataset,k,Numeric_Features,Inertia_SSE,Silhouette,Davies_Bouldin,Iterations,Silhouette_N
promotion,2,7,321148.0141307683,0.227291309879136,1.9263759479465281,5,5000
promotion,3,7,267851.7930955468,0.23570380420806764,1.4030617319131429,9,5000
promotion,4,7,221204.80062649204,0.24685487053930755,1.3040927449286512,8,5000
promotion,5,7,191896.69848205041,0.2565466171026623,1.2695433190845966,12,5000
promotion,6,7,170961.97535929427,0.24239330266966272,1.1929481316727204,11,5000
promotion,7,7,157007.93488484487,0.23505604891767135,1.164428663451569,12,5000
