mean_fit_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.018288850784301758,entropy,8,5,0.39748471204268726,0.06763079152810081,1,0.7132565673068353,0.00729577215254105
0.01869034767150879,entropy,8,2,0.3971368052677626,0.04898381039061864,2,0.7723822713921322,0.029789967041533513
0.017213821411132812,gini,12,10,0.3802302693552164,0.03495476144695459,3,0.6226296253889346,0.01756789011407648
0.01570614178975423,gini,8,10,0.3790434196499508,0.03566627835531296,4,0.6225176818773527,0.01756761457656913
0.021485010782877605,gini,5,10,0.37890075828859243,0.01863310471509288,5,0.5482617321837914,0.0031818969302589545
0.01759942372639974,entropy,12,5,0.37753970601301606,0.06372402689266243,6,0.7465778709809635,0.03817871171291087
0.017612139383951824,gini,5,5,0.37168504989734036,0.02316825269727217,7,0.5682272719679203,0.008117335682561521
0.017177263895670574,gini,5,2,0.37036982524897705,0.016951480486343595,8,0.5855004132700646,0.01771570461678322
0.016555945078531902,entropy,5,5,0.36738734134082973,0.027686268010928296,9,0.5635744838702265,0.015680351156575126
0.016336520512898762,entropy,5,2,0.3654803675856308,0.023014937506288972,10,0.5696265596660414,0.020271235512375727
0.01729424794514974,entropy,8,10,0.3628458498023715,0.08100565271795043,11,0.6418566926060114,0.03238271588421952
0.0172573725382487,entropy,12,10,0.3583431992693569,0.0749403277969406,12,0.6491634876945611,0.026238928015741677
0.01827232042948405,gini,12,5,0.35523068309953554,0.07947140109999441,13,0.7440195765529758,0.012251089111377516
0.019504626592000324,gini,8,5,0.35342391756004315,0.07575056211789713,14,0.730089790373755,0.01767994400490401
0.018814245859781902,entropy,12,2,0.35015739228924875,0.0651232390313395,15,0.8804810542419078,0.05884176858059848
0.017183860143025715,gini,8,2,0.34140044391241453,0.05141173347461513,16,0.8149304282546832,0.016852434371623586
0.016117254892985027,entropy,5,10,0.33653302828469545,0.041514818022546196,17,0.5445981914059717,0.02101407699929555
0.019589900970458984,gini,12,2,0.3249651520679558,0.051933872603003355,18,0.9221479004087699,0.0013138364570541915
