mean_fit_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.27251768112182617,gini,12,5,0.36596592262809663,0.00300323075106412,1,0.3968756353062015,0.0006661713477861645
0.27370524406433105,gini,12,2,0.3656033108980763,0.0036152021055238974,2,0.40234112326038424,0.0005814889205508914
1.2369457880655925,entropy,12,5,0.36377420507194547,0.002130735747665374,3,0.3926146767655796,0.006927516399903429
0.6253165404001871,entropy,12,2,0.36167447969700994,0.0027581402783118762,4,0.3951531679531277,0.00796104204343789
0.3244818051656087,gini,12,10,0.36125536811416376,0.004390275708247487,5,0.3897807220217769,0.000457433785629644
1.1416597366333008,entropy,12,10,0.36058049684549803,0.0024872854162356767,6,0.3871773117135418,0.007189847643606943
0.20519328117370605,gini,8,5,0.3452198942016474,0.004234156283719749,7,0.35391717505745596,0.000733248431108152
0.20047418276468912,gini,8,2,0.3450364082903871,0.003833261475122833,8,0.35519140740328475,0.000675347478183368
0.834777037302653,entropy,8,5,0.3439187827032373,0.003908570202608813,9,0.3511001482636615,0.0013228400570839884
0.568265438079834,entropy,8,2,0.34343568058554136,0.003709011776135309,10,0.3522663560946157,0.0012760161836148666
0.21431922912597656,gini,8,10,0.34289850609067907,0.005588372602873958,11,0.35216980854407137,0.00030172858269469574
0.919386068979899,entropy,8,10,0.34278236974409165,0.004586107458967015,12,0.3496023536164728,0.0013361134984575852
0.18886462847391763,gini,5,2,0.32675450467693085,0.003269407168907121,13,0.32940092977377256,0.004500823262964153
0.19327592849731445,gini,5,5,0.32675450467693085,0.003269407168907121,13,0.3293851403337135,0.0045113410419188125
0.42142073313395184,entropy,5,5,0.32580533450700494,0.005581869416988831,15,0.32740413309641037,0.0031265218726764074
0.24787457784016928,entropy,5,2,0.3258050007946389,0.00549397252101373,16,0.32740421010611565,0.0031255946290750856
0.22571786244710287,entropy,5,10,0.32579515173084905,0.005708521316274742,17,0.3271916131882364,0.0031697223780596767
0.15199844042460123,gini,5,10,0.325569793476761,0.0034126566114576393,18,0.3286385761263368,0.004369745936058027
