mean_fit_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.08068482081095378,entropy,8,10,0.5663681737031823,0.006976995445610268,1,0.5993116887360416,0.001747828082804974
0.08497166633605957,entropy,8,2,0.5662823899393191,0.010281564053787958,2,0.6068445115683044,0.0005687103149390362
0.09015297889709473,entropy,8,5,0.5653590011136241,0.00613034660706407,3,0.6025798093286102,0.0010565918576715923
0.08482042948404948,gini,8,10,0.5647716819613265,0.002123015560402406,4,0.602756428252412,0.0007565858858878259
0.08008448282877605,gini,8,2,0.5640759391477151,0.007097748010645795,5,0.614266494308478,0.0012646871044519272
0.08593710263570149,gini,8,5,0.5631034757694836,0.007929200312991182,6,0.607571944959692,0.000928039338984303
0.1176149845123291,entropy,12,10,0.5551985697631278,0.006121568054071086,7,0.6204819851053692,0.002188640626914162
0.06343189875284831,entropy,5,10,0.554520085321577,0.005794120116380889,8,0.5611944114150932,0.006226863946894594
0.06684486071268718,gini,5,10,0.5541561700821066,0.0058328912208000135,9,0.5621207974661115,0.005379246855326529
0.07507522900899251,gini,5,5,0.5536281408189639,0.005081584756682157,10,0.562835905540293,0.00530073058260487
0.06141034762064616,entropy,5,2,0.5535835711752389,0.004948678401903194,11,0.5621295727165383,0.006433096179240342
0.06523855527242024,gini,5,2,0.5535347867534152,0.005007265236070711,12,0.5632514327378121,0.005316622347020193
0.06173380215962728,entropy,5,5,0.5534655440655065,0.005382324384971715,13,0.5619322162020403,0.006401292331284365
0.12224459648132324,entropy,12,2,0.5526895199868844,0.0012826779992146777,14,0.6452026598250525,0.0049988049813176165
0.12958025932312012,gini,12,10,0.5522252493557805,0.0015010978642120976,15,0.6222997391759759,0.0031210669452448212
0.13467892011006674,entropy,12,5,0.5500855740666516,0.004178535969649319,16,0.6323439406153918,0.005368970904558951
0.13675649960835776,gini,12,2,0.5475567976279284,0.005890343024491201,17,0.663785456455761,0.0042672965968906145
0.1390549341837565,gini,12,5,0.545756465065997,0.0029541975450401415,18,0.6418443544472261,0.003042011378508925
