Fold,R2,RMSE,MAE
1,0.3276467568441065,0.5324329776745499,0.41746218564900284
2,0.22593979682176257,0.5699612551215169,0.4550464246491265
3,0.5209610252881893,0.54018276753366,0.43253358890222043
4,0.2981486358895381,0.6185586490634121,0.38428687208845413
5,0.500388309525295,0.5575912055110129,0.44159005017526975
6,0.4401517147760734,0.5150637407227178,0.41572441824369094
7,0.27470145991906436,0.5289406823466848,0.41201110438967903
8,0.5707030920143744,0.5251209321539894,0.3932312665666608
9,0.10879827830504063,0.6437961868521694,0.45082676079865425
10,0.5403466424414886,0.5367204941867354,0.4256901180796471
11,0.5808141662135713,0.4849976944622167,0.3912734402608251
12,0.3052180714962466,0.6136154912823274,0.4940853811648488
13,0.20323003246980242,0.5510350969088171,0.42633201204442706
14,0.44511536405539665,0.5633879064285224,0.43421328425455524
15,0.10670974009297385,0.6976524071750803,0.5022045903255681
16,0.26870406986769857,0.6257908895850818,0.5099097224420029
17,0.18951130032111219,0.697962387875654,0.48256673964293867
18,-1.1678123184061255,1.0567339525058652,0.8561627311832243
19,0.5073729104207535,0.5237068543424339,0.423384049714731
20,0.5390674055953417,0.43467442074741963,0.3598119252743453
21,0.4858121077784088,0.5138076727204337,0.41652073795088973
22,0.4464407250752994,0.5162446300964262,0.4218606470773765
23,0.37338539420807115,0.5530019718797105,0.44230307902660937
24,0.5720329536823663,0.5324086282558224,0.4199051565254601
25,-0.129549992795311,0.7110592812790502,0.4852823438442939
