Variant,Model,Train_N,Test_N,R2,MAE,RMSE,R2_CI_Lower,R2_CI_Upper,MAE_CI_Lower,MAE_CI_Upper,RMSE_CI_Lower,RMSE_CI_Upper,Tuning_CV_RMSE,Repeated_CV_R2_Mean,Repeated_CV_R2_Std,Repeated_CV_RMSE_Mean,Repeated_CV_RMSE_Std,Tuning_Convergence_Warnings,Repeated_CV_Convergence_Warnings,Best_Params
Base,Random Forest Regressor,256,64,0.38470059867616535,0.39054725089010617,0.5093419434457479,0.053830255301589774,0.5943626436783266,0.3132509384393082,0.47256220217909406,0.4068394941662872,0.6049126469304839,0.5700930616779742,0.41529278389564966,0.1355942036651398,0.5431966776885414,0.04859141889232165,0,0,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 400}"
Base,Decision Tree Regressor,256,64,0.4221554098909236,0.38305187120146605,0.4935961011929536,0.04149873435270342,0.6524766672060184,0.309094731584936,0.46029774321487493,0.399155072921014,0.5831269192903366,0.6004578213487803,0.36838789445408016,0.14253332157648652,0.5650579333933775,0.050342611856543325,0,0,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
Base,LinearSVR,256,64,0.4286779333673221,0.38312922112554787,0.49080241842745337,0.14623328241842684,0.5943641420089963,0.307979021746813,0.4597195153265167,0.4060222693867046,0.570320140796557,0.5319762769119811,0.4653255978636539,0.11643745251276157,0.5205696155849739,0.04693099522296965,0,0,"{""model__C"": 1, ""model__epsilon"": 0.2}"
Base,MLPRegressor,256,64,0.3716777945383991,0.40607848252750456,0.5147038288697395,0.09872827538701258,0.5311632277364636,0.332235480319289,0.4831026621396068,0.426088065014049,0.6008657860408191,0.5642257424954837,0.30135350567602154,0.35457896234316266,0.5857779270684524,0.11940587363803719,0,0,"{""model__learning_rate_init"": 0.001, ""model__hidden_layer_sizes"": [50, 25], ""model__alpha"": 0.001}"
GEE+,Random Forest Regressor,256,64,0.39821208540833375,0.39048647797323877,0.5037185281392509,0.07061258269880652,0.6022806627706816,0.31542965736661827,0.46973857713520967,0.40611267469378803,0.5954627757402375,0.5679691069704067,0.4256572496893857,0.12665912117565667,0.538845903148042,0.04484683113954847,0,0,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 400}"
GEE+,Decision Tree Regressor,256,64,0.36915067803551427,0.40527075970430226,0.5157378614723008,0.052605148008798536,0.5384995725123681,0.3311618845209096,0.4875341534265475,0.41898408619474625,0.6128933586627213,0.6161416428098605,0.3404674298081612,0.14497935019200547,0.5777093552856946,0.048132229897158506,0,0,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10}"
GEE+,LinearSVR,256,64,0.40578091272691086,0.3884401574899508,0.5005408119464193,0.07788046003055714,0.5972560643259822,0.3123316872720894,0.4670762667867109,0.4140796852587975,0.5815270065924881,0.53460588271525,0.4568094167741382,0.12021995787152764,0.524350825346794,0.045895379190234634,0,0,"{""model__C"": 1, ""model__epsilon"": 0.0}"
GEE+,MLPRegressor,256,64,0.3422067113020054,0.4179887438406925,0.526636449179928,0.10673726943958568,0.4838694937795395,0.34379110601912066,0.5000384151047035,0.4274885632010757,0.6385995466057506,0.5967393121934045,0.347869200505258,0.1827007021051172,0.5727649278351006,0.07078365104737826,0,0,"{""model__learning_rate_init"": 0.01, ""model__hidden_layer_sizes"": [20], ""model__alpha"": 0.0001}"
