Model,Delta_R2,Delta_R2_CI_Lower,Delta_R2_CI_Upper,Delta_MAE,Delta_MAE_CI_Lower,Delta_MAE_CI_Upper,Delta_RMSE,Delta_RMSE_CI_Lower,Delta_RMSE_CI_Upper
Random Forest Regressor,0.013511486732168398,-0.030336081150298646,0.05950007859868508,-6.077291686740205e-05,-0.014812956952694968,0.015300751848257995,-0.005623415306497015,-0.023947088984284066,0.011294660220955233
Decision Tree Regressor,-0.053004731855409326,-0.23357276863657792,0.15987216085095396,0.02221888850283621,-0.03344245246252586,0.0840395590812379,0.022141760279347222,-0.056464649552175186,0.11346696130895471
LinearSVR,-0.022897020640411214,-0.0797305424114421,0.010784381949497705,0.005310936364402941,-0.006893808592822697,0.018126333731873973,0.009738393518965938,-0.005746537061764776,0.02504347961240168
MLPRegressor,-0.02947108323639369,-0.15389680478483503,0.11619785825473863,0.011910261313187953,-0.027706554353765032,0.05312352111368078,0.011932620310188491,-0.040349314897194975,0.06759475241779211
