mean_fit_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.05531016985575358,0.01,"(50,)",0.0001,tanh,0.5376988531261562,0.06557474143061809,1,0.7632984995182558,0.12324688571648398
0.06665325164794922,0.01,"(50,)",0.0001,relu,0.521031912632883,0.02215318409271759,2,0.7576785561165865,0.05855784131561705
0.07678826649983723,0.01,"(100,)",0.001,relu,0.5121530117775425,0.06436730386227818,3,0.6714066677453405,0.044953618387889395
0.10078843434651692,0.001,"(50, 50)",0.0001,tanh,0.41882456875763435,0.07699545549743728,4,0.43584118227164237,0.13174339105206878
0.08482940991719563,0.01,"(50, 50)",0.001,relu,0.4152397989607292,0.05993778191315239,5,0.6896439194819425,0.1782523458060385
0.1362586816151937,0.001,"(100,)",0.001,relu,0.4076675077095599,0.055581168017728874,6,0.5088937431736621,0.13923908157710715
0.08903964360555013,0.001,"(50,)",0.001,tanh,0.33934456411672653,0.15761143250757811,7,0.41198009506833033,0.13698760000077687
0.10650936762491862,0.001,"(50,)",0.0001,relu,0.30522963809945347,0.208585048526276,8,0.4127180617673867,0.2701362415209554
