Dataset,Model,Tree_Index,Node,Left_Child,Right_Child,Feature,Threshold,Impurity,Samples,Weighted_Samples,Is_Leaf,Value_0
ghrm,Random Forest Regressor,0,92,93,102,numeric__GPA,1.2170261144638062,0.2536764705882355,21,34.0,False,4.25
ghrm,Random Forest Regressor,0,93,94,101,numeric__GEE,1.3724275827407837,0.26535916824196804,14,23.0,False,4.141304347826087
ghrm,Random Forest Regressor,0,94,95,100,numeric__GRS,0.794561505317688,0.28589965397923933,10,17.0,False,4.029411764705882
ghrm,Random Forest Regressor,0,95,96,97,numeric__GTD,0.5181897878646851,0.07692307692307665,7,13.0,False,4.25
ghrm,Random Forest Regressor,0,96,-1,-1,leaf,,0.125,2,3.0,True,4.0
ghrm,Random Forest Regressor,0,97,98,99,numeric__GCM,1.0261730551719666,0.0381249999999973,5,10.0,False,4.325
ghrm,Random Forest Regressor,0,98,-1,-1,leaf,,0.015625,2,4.0,True,4.125
ghrm,Random Forest Regressor,0,99,-1,-1,leaf,,0.008680555555560687,3,6.0,True,4.458333333333333
ghrm,Random Forest Regressor,0,100,-1,-1,leaf,,0.29296875,3,4.0,True,3.3125
ghrm,Random Forest Regressor,0,101,-1,-1,leaf,,0.07118055555556069,4,6.0,True,4.458333333333333
ghrm,Random Forest Regressor,0,102,103,104,numeric__GRS,1.3603688478469849,0.1528925619834709,7,11.0,False,4.4772727272727275
ghrm,Random Forest Regressor,0,103,-1,-1,leaf,,0.0,2,3.0,True,4.75
ghrm,Random Forest Regressor,0,104,105,106,numeric__GTD,1.5766199827194214,0.171875,5,8.0,False,4.375
ghrm,Random Forest Regressor,0,105,-1,-1,leaf,,0.05999999999999872,3,5.0,True,4.2
ghrm,Random Forest Regressor,0,106,-1,-1,leaf,,0.22222222222221788,2,3.0,True,4.666666666666667
