mean_fit_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
0.6398372650146484,10,sqrt,2,400,-0.5679691069704067,0.06902389553724926,1,-0.3395030125418733,0.01361342364421657
0.38227005004882814,10,sqrt,2,200,-0.5684498270042136,0.07069626250584263,2,-0.34160840290037664,0.013678239161112925
0.7541296482086182,,sqrt,2,400,-0.5689467361877012,0.0671985087015591,3,-0.3350940592984271,0.013280943956102825
0.3992285251617432,,sqrt,2,200,-0.5696081754260653,0.0692104697451905,4,-0.33714037231023336,0.013119087406903365
0.7343669891357422,10,sqrt,1,400,-0.5748505717133954,0.06720359315667342,5,-0.24850572115007533,0.008891244430308712
0.40735626220703125,10,sqrt,1,200,-0.5751331742382864,0.0699229602920233,6,-0.25096669973278557,0.00995329720261507
0.7588128566741943,,sqrt,1,400,-0.5771175966393488,0.06651483660626917,7,-0.2194369540175048,0.007460246696585762
0.40802607536315916,,sqrt,1,200,-0.5772617026126154,0.0683362925922651,8,-0.22181677033043998,0.007525710122655461
0.7692429065704346,10,1.0,2,400,-0.5815477780213684,0.0718806148532057,9,-0.30848653518698876,0.013648704497614449
0.39174556732177734,10,1.0,2,200,-0.5824263113596414,0.07397151658899663,10,-0.3103413536123984,0.013438291699067333
0.8216737270355224,,1.0,2,400,-0.5825503177012761,0.07165863765217718,11,-0.30304485966200934,0.013463765151054703
0.40841965675354003,,1.0,2,200,-0.583588506378839,0.07359719741620957,12,-0.3049646809668167,0.013398805567694549
0.8066338539123535,10,1.0,1,400,-0.5870732303643704,0.07007062543727678,13,-0.24448245064083554,0.00850547680441617
0.38164939880371096,10,1.0,1,200,-0.5876780248182774,0.0745152211386203,14,-0.24726227985787363,0.009428303826062162
0.4615121841430664,,1.0,1,200,-0.5901504033517045,0.07305264293341517,15,-0.22629151919563012,0.008467067372963903
0.8336108207702637,,1.0,1,400,-0.5905081711707388,0.06888318776211357,16,-0.223208461931651,0.00793557123500842
